Place Name	Primary Description – Usually helps find location	Secondary Description – Often notes, sometiems helps find location	Dates
Waimarama	About 15 miles south of Cape Kidnappers		8 Dec 43; 1-4 Mar, 3-4 Nov 45; 10-11 Feb, 18-20 Aug 46; 15-16 Jan, 27-28 May, 1-2 Oct 47; 15-16 Jun, 25-26 Oct 48; 10-15 May, 18-22 Oct 49; 2-4 Mar, 6-9 Jul, 28-29 Nov 50; 21-25 Mar, 6-8 Aug, 27-29 Dec 51; 4-6 May, 12-15 Jun, 17-18 Aug, 8-11 Nov 52
Waimarara	A little stream in Palliser Bay	Bagnall & Petersen ( p. 218) indicate Waimarara Stream on the west shore of Palliser Bay, approximately in the position of the Little Mukamuka Stream. Older maps mark a stream approximately half way between Little Mukamuka and Cape Turakirae	19-20 Apr, 27 Oct 47; 18-19 May 48
Waimarino	On the shore of Taupo Lake	The Waimarino River flows into the southeastern corner of Lake Taupo. The village may be the same as that later called Korohe (q.v.) by Colenso	17 Feb 47
Waimata River		This river reaches the sea at slightly over half way travelling north from Akitio to Tautane on the Wairarapa Coast	22-23 Apr 52
Waimate		Waimate North, on the Waimate River, west of the Bay of Islands and 3½ miles north of Ohaeawai. This was the first inland European settlement in New Zealand and Bishop Selwyn’s headquarters. Colenso records several visits between October 1835 and February 1840	He was in residence there in 1843-4
Waimimiha	A small stream	The Waiamimi Stream south of Castle Point and a short distance north of the Whareama River on the Wairarapa coast	1-3 Nov 48
Wainui		On a small bay of the same name east of Whangaroa Harbour, Northland	10 Apr 39
Te Waiohingaanga River		Now known as the Esk, entering the sea at Petane between Tangoio and Napier	22 Apr 46; 9-10 Feb 47
Te Waiokongenge		A camping spot Half-way down the (Ruahine) range, below Te Atuaomahuru on the east side	22 Feb 47
Waiomio (Whaiomio)	A valley containing several villages (of which only Hinekuru and Tapukuotokoahu are named by Colenso)	In the first few instances he treats Waiomio as a village name. The Waiomio valley is almost due south of Kawakawa	From 1836, this district was Colenso’s main missionary responsibility and he made visits at approximately two-weekly intervals
Waioreore		This is described as a small village on the route between the Wairua and Kawakawa Rivers. It would appear to have been near the head of the Waiomio Valley, possibly in the vicinity of Towai	26 Feb 36; 13 Feb 44
Waiorongo	nr. Castle Point	Near the mouth of the Wakataki River a few miles north of Castle Point, on the Mataikona Road, Wairarapa Coast	15 Nov 43; 13-14 Mar, 26 Nov 45; 23-24 Feb, 3 Sep 46
Waipa River		One of the main tributaries of the Waikato, joining it at Ngaruawahia	24 Jan 42; 30 Jan 44
Waipahirere		A camping spot 2½ hours’ march south of Hukatere on Ninety Mile Beach, Northland	28-29 Mar 39
Waipaoa River (Waipaua River)	Waipoua River, Our old sleeping place		
The Waipawa River	Hawke’s Bay		7 & 11 Feb 45; 29-31 Dec 47; 29-31 Dec 49; 30 Oct 51
Waipapa Stream		A stream named Waipapa joins the Waionepu River south of Maungatapere near Whangarei	22 Feb 36
Waiparati	Te, near Tarawera	Not located, but Tarawera is the locality on the Taupo-Napier road	
Waipawa River		A tributary of the Tukituki It rises in the Ruahine Range, is joined by the Makororo and flows into the main stream at Waipawa	
Waipoua River	Head of Wairarapa Valley	Rises in the Tararua Ranges and joins the Ruamahanga at Masterton. Not mentioned in the Journal and appearing as item 691 in an undated list	
Waipuakakahu	Half-way between Ẁangarei & Bay of Islands	The Waipuakakahu Stream joins the Waiotu River at Waiotu on the Kawakawa-Whangarei Road, 17 miles north of Whangarei	The date April 1843 appears on a specimen of Lomaria fluviatilis (WELT p.3320) and the locality also occurs in the list of 30 July 1844
Te Waipukurau		The modern town of Waipukurau on the Tukituki in southern Hawke’s Bay	22-23 Apr, 20-21 Oct 45; 7-8 Apr, 25-30 Jun, 3-5 Oct 46; 9-12 Jan, 1-2 & 25-26 Mar, 11-13 Sep, 25-27 Nov 47; 25-28 Mar, 23-26 Sep 48; 9-12 Mar, 17-19 Nov 49; 11-12 Apr, 19-21 Nov 50; 24-27 May, 30-31 Oct 51; 13-16 Mar 52
Waipupu		Waipupu Stream is south of the Whareama River and about two miles north of Riversdale Beach, Wairarapa coast	14 Mar 45; 24 Feb, 4 Sep 46; 11 May, 14 Oct 47; 3 Nov 48; 27-28 Apr 49; 14-15 Mar 50; 8-10 Apr 51; 15-17 Apr 52
Waipureku		Bagnall & Petersen ( p. 237) show Waipureku between the Ngaruroro and Tukituki River mouths	26 Feb 51
Wairarapa Bay (Palliser Bay)			
Wairarapa Lagoon		It is clear that Colenso is referring only to the present Lake Onoke. His usual routes took him to the east or north of Lake Wairarapa and he appears never to have reached its shores	2 Apr 45; 4-6 Mar 46; 2 Apr 49
Wairarapa Valley		Colenso includes the whole catchment of the Ruamahanga River from Mt Bruce to Palliser Bay	1-9 Apr, 30 Oct-6 Nov 45; 17-24 Mar, 16-23 Sep 46; 7-15 Apr, 5-15 Nov 47; 11-19 Apr, 13-20 Nov 48; 22-30 Mar 49; 19 Mar-1 Apr 50; 19 Apr-12 May 51; 25 Mar-6 Apr 52
Te Wairere	A very high hill	The Wairere track was a well-known route across the Kaimai Ranges from Tauranga to Matamata. Some details of the track are given by Vennell (1969). The Wairere Falls are on the western side of the ridge. They are marked, together with the hill and the Ariki Falls further south, on Arrowsmith’s 1850 map	20 Jan 42; (27 Jan 44 - not mentioned in the Journal)
Te Wairo	Our old potatoe plantation	Between the Kaiwaka River and Tarawera. This would appear to have been on or near the Mohaka River, the usual last stop before Tarawera	24-25 Jan 49
Wairoa		The modern town of Wairoa in Northern Hawke’s Bay, although Colenso is probably referring to the river. He refers to the village as Uruhou (q.v.)	31 Jul-2 Aug 45
Wairoa River		A major river of Northern Hawke’s Bay	15-18 Dec 43
Wairoa River	Kaipara	Enters the northern arm of Kaipara Harbour	10-11 Feb 44
Wairua River		The eastern branch of the Wairoa River, Northland	23-25 Feb 36; Oct 42; 12 Feb 44
Wairua	On a small river	This was inland from Helena Bay, Whangaruru Harbour but has not been located. It is evidently not associated with the Wairua River of the previous entry	17-18 Feb 36
Waitaatamakopiri		Not located	
Waitahunui River		The Waitahanui River flows into Lake Taupo on the eastern shore north of Te Kohaiakahu Point	4 Dec 49
Waitangi	Bay of Islands	The famous Treaty site opposite Russell Colenso records numerous visits between 1835 and 1840	
Waitanoa		A pa south of the Tutaekuri, to the south-east of the present Allen Road. (Bagnall & Petersen, p.194n)	8 Jan 45; 28 Jan 47; 20 Jun 49
Waitutuma	A small stream	The Waitetuna Stream rises on Mt Barton, Aorangi Mountains, and reaches the coast about three miles east of Cape Palliser	4-5 May 47
Waiwetu		Waiwhetu, a suburb of Lower Hutt	18 May 48
Te Ẁakaki		Whakaki, on the main road east of Wairoa, northern Hawke’s Bay	2-4 Aug 45
Wakahau		Not located but about 6 miles from Otaika, Whangarei	13 Dec 39
Ẁakamarino		Whakamarino was on the site of present artificial Lake Whakamarino at Tuai, below Waikaremoana	23-24 Dec 41
Ẁakaraunuiataẁake	A potatoe plantation; Ẁakaraunuiotawake	This was on the coast between the Owahanga and Mataikona Rivers on the Wairarapa coast. On the last visit, Colenso notes it as now growing into a village, which, from earlier references, suggests that it had declined to a plantation before again being inhabited	11-12 Mar, 15 Apr 45; 19 Feb, 28-29 Aug 46
Ẁakaruatapu		Whakaruatapu Stream flows west of Matamau to join the Matamau Stream to the south of the township in southern Hawke’s Bay Province. Te Ẁakatakapau. Described as one mile from Waitanoa and two miles from Te Awatoto, Hawke’s Bay, but not mentioned by Bagnall & Petersen or by Buchanan	28 Jan 47
Ẁakataki		The Whakataki River enters the sea just north of Castle Point. The village of Waiorongo was near its mouth, and it is uncertain whether Colenso used alternative names for the same village or whether they were distinct places	11 Apr 45; 1-2 Jun 48; 7-8 Apr 51
Wakatane	Bay of Plenty Modern Whakatane		
Ẁakatane River		The Whakatane River, Bay of Plenty	Jan 42; 29 Dec 43; 8 Jan 44
Ẁakatomotomo	A potatoe Plantation	Near the Turanganui River, Wairarapa	16 Sep 46; 24 May 48
Ẁakatu		On the Ngaruroro River close to the confluence with Karamu Creek	21-22 May 49
Wakaurekau River		On the following day (7th Jan, 1848) they left Te Awarua, but wind and rain halted them on the banks of the Whakarekou stream… (Bagnall & Petersen, p.269), (a stream on the western side of the Ruahine Range probably near the base of the Mokai Patea ridge) No such stream is marked on modern maps	
Ẁakaurekou River		The Whakarekou River rises below Maroparea and Remutupo on the main Ruahine ridge and flows northwest to join the Rangitikei upstream from Awarua	7-8 Jan 48
Ẁakauruhanga near Te Unuunu		To the north of Flat Point, Wairarapa Coast (Bagnall & Petersen, p.218)	10-11 Apr 51; 14 Apr 52
Wakawitira		Whakawhitira on the Waiapu River, East Cape, about 10 miles from the mouth	18-19 Jan 38; 29 Nov-1 Dec 41
Wananaki (Wananake Range)	Whananaki, on the north head of Whananaki Inlet, Northland		23 Sep, 7 Oct 41
Wananake Bay	Whananaki Inlet, between Bay of Islands and Whangarei Harbour	The locality appears in the list of July 1841	Dec 39
Wangaehu (Wangaihu)	Ẁangaehu	The Wangaehu River reaches the sea six miles north of Cape Turnagain and near Cook’s Tooth	10 Mar, 16-17 Apr, 24 Oct, 29 Nov 45; 17 Feb, 26 Aug 46; 20 May, 7-9 Oct 47; 4-5 May 49; 7-8 Mar 50; 1-2 Apr 51; 23-24 Apr 52
Wangaehu River	Head of Wairarapa valley		
Whangaehu River	a tributary of the Ruamahanga, the confluence being south of Masterton		
Ẁangaehu River	Base of Tongariro	The Whangaehu River rises on the eastern side of Mt Ruapehu and flows southeast before turning southwest near Waiouru	28-29 Nov 49
Wangai		The Whangae River enters the Kawakawa River near the mouth on the west side. The locality of Whangae is inland considerably to the west, beyond the watershed of the river Colenso gives several visits between 1835 and 1840, and is presumably referring to the river or to a village near its mouth	
Wangaiti River	near Cape Turnagain		This name appears in the list of July 1846 but is not mentioned in the Journal and has not been located
Ẁangaiẁakarere	A small village	Possibly to be identified with Whangaimoana, the stream which flows northwest parallel to the coast to reach Palliser Bay about two miles east of Lake Onoke	17 Mar 46
Wangape		Whangape on the harbour of the same name between Herekino and Hokianga Harbours, to the south of the Ninety Mile Beach, Northland	23-25 Mar 39
Wangara	A bold jutting promontory	Whangara is on the coast a few miles south of Gable End Foreland	26 Jan 38
Ẁangarei		Modern Whangarei, but, as in other instances, it is not clear whether Colenso refers to a settlement or a district	Oct 41; Oct 42
Wangarei Bay		Whangarei Harbour	8-9 Dec 39; 28-30 Sep 41; Oct 42
Wangaroa Harbour		Whangaroa Harbour, the deep inlet between Doubtless Bay and Bay of Islands	9-10 Apr 39
Wangaroa River		Now known as the Hangaroa River, a tributary of the Wairoa River, northern Hawke’s Bay. Arrowsmith’s 1850 map uses the same spelling as Colenso	21-22 Dec 41
Wangaruru		On the east side of Whangaruru Harbour, south of the Bay of Islands	15-16 Apr 35; 10-13 Feb 36; 20 & 24-25 Jun, 26-30 Sep, 1 Oct 39; 17 Aug, 18 Sep 41
Te Ẁarau Hill		Te Wharau is a ridge between the Whakatane and Waikare Rivers, not far from the junction. 13 Jan 44. Te Ẁarau. On the Wairoa River, upstream from Dargaville	11 Feb 44
Ẁaraurangi		On the flat a quarter of a mile south of Glenburn Station homestead, behind Horewai Point, by the karaka grove. (Bagnall & Petersen, p.219n) (to the south of Flat Point, Wairarapa coast)	15-18 Mar, 24 Nov 45; 25 Feb, 7-8 Sep 46; 10 May, 16 Oct 47; 4 Nov 48; 26-27 Apr 49; 15-16 Mar 50; 11-12 Apr 51; 14 Apr 52
Waraurangi Coast	Waraurangi, E. Coast	Bagnall & Petersen ( p. 213) describe it as being on the south side of the long shallow bay south of Flat Point, on the Wairarapa coast. There is a Māori cemetery at the mouth of the Waikekino Stream Bagnall and Petersen’s map ( p. 218) shows it slightly south of this bay, on the site of the Glenburn station	
Warekahika		Wharekahika, Hick’s Bay, East Cape	16 Jan 38; 22-23 Nov 41
Te Ẁareohinekiri	a sleeping-place a little below the top of the E. side of the (Ruahine) range		25-26 Feb 52
WareoraWhareora	east of Whangarei		17-18 Dec 39; 4 Oct 41
Warengarahu	A romantically situated hamlet on the side of a hill (between Opaoho and Kawakawa, Bay of Islands, but not located)		9 Feb 40; 21 Feb 41
Ẁarepapa		The Wharepapa River enters Palliser Bay a mile or so to the west of Lake Onoke	13 Mar 46
Wareponga		Whareponga is on the coast a few miles north of Waipiro Bay, between East Cape and Poverty Bay	22 Jan 38; 1-2 Dec 41
Warerangi		Wharerangi is to the west of the old lagoon and opposite Napier	21-23 Jun 47; 17 Oct 48; 31 Jan, 19-20 Jun 49; 15-16 Jan 50; 29 Jun-1 Jul 52
Wareturere		Wareturere was about four miles south-east of the site of the present town of Cambridge. (Bagnall & Petersen, p.138n)	21-24 Jan 42
Warewatukahakaha		The plantations of Orauta	10 Nov 39
Te Ẁataarakai		In the vicinity of Te Tamumu and Waipukurau but not located on modern maps nor mentioned by Buchanan	25 Mar 48
Wataatamakopiri	Height above Kuripapango	Buchanan ( p. 198) so identifies a feature now marked as Te Whata No. 2 (2544 feet alt.) to the east of Timahanga on the Taihape-Napier Road. The name does not appear in the Journal but on a cryptogam packet	The date would be 16 October 1851
Ẁataroa		Whatarua is on the upper Mangaaruhe River at the junction of the Ohuka, Matakuhia and Mangarewarewa Roads, east of Waikaremoana	23 Dec 41
Watawata On the immediate banks of the Waipa		Not named by Colenso	27 Jan 42
Watuma		Whatuma Lake is a mile or so southwest of Waipukurau. Previously spelt Hatuma The name appears on a few specimen labels	
Te Ẁau		Te Whau, on the north shore of Manukau Harbour, at the western end of Blockhouse Bay	4 Feb 42; 5-6 Feb 44
Wellington		The city on Wellington Harbour – at the southern end of the North Island. In Colenso’s time it would have been confined to the Te Aro flat area on the southern shore of the harbour at Lambton or Inner Harbour	26-30 Mar, 11-13 Nov 45; 9-11 Mar 46; 21-22 & 26-27 Apr, 28 Oct-2 Nov 47; 3-5, 9-13 & 15-17 May 48; 9-14 Apr 49
Te Wera-a-te-Atua		… in the vicinity of the present-day Maungatautari pa (Bagnall & Petersen, p.138n). (near Cambridge)	23 Jan 42
Te Werahi River		This river reaches Sandy Bay between Cape Reinga and Cape Maria van Dieman	30 Mar-1 Apr 39
Whariti Whariti or Wharite is a peak in the southern Ruahine Range	six miles north of Woodville		
Ẁirinake river (Wirinaki)	The Whirinaki is a tributary of the Rangitaiki River	Colenso does not name the river at Te Whaiti, recognizing it only lower down near the Rangitaiki	4-6 Jan 42; 30 Dec 43; 3-4 Jan 44
Te Ẁiti		The Te Whiti clearing, a mile across, began just beyond the crossing of the Manawatu, some three miles from the present Takapau (Bagnall & Petersen, p.233n)	6-7 Apr, 2-3 Oct 46; 26-27 Mar 47; 28-29 Mar 48; 12-13 Mar 49; 23-24 May 51; 16-17 Mar 52
